Frame,,,Time,X1,Y1,Z1,X2,Y2,Z2
411,5.9,5.896,4.11,2.425215,1.774121,1.870224,2.422011,1.775889,1.882813
412,5.91,5.906,4.12,2.43026,1.781313,1.8469,2.426722,1.78224,1.860595
413,5.92,5.916,4.13,2.434649,1.790223,1.824722,2.431761,1.790735,1.838195
414,5.93,5.926,4.14,2.439772,1.799906,1.80247,2.436856,1.799654,1.815907
415,5.94,5.936,4.15,2.445288,1.808625,1.778917,2.442433,1.80763,1.791806
416,5.95,5.946,4.16,2.45272,1.813916,1.752366,2.449118,1.813954,1.765704
417,5.96,5.956,4.17,2.458719,1.816238,1.725144,2.4561,1.817357,1.738502
418,5.97,5.966,4.18,2.465825,1.816387,1.697681,2.463674,1.818313,1.710763
419,5.98,5.976,4.19,2.472478,1.814422,1.669524,2.471702,1.817873,1.683245
420,5.99,5.986,4.2,2.479558,1.813861,1.642518,2.478631,1.818579,1.655608
421,6,5.996,4.21,2.48646,1.81596,1.617128,2.485694,1.819825,1.630051
422,6.01,6.006,4.22,2.492471,1.819749,1.592735,2.491502,1.821935,1.60627
423,6.02,6.016,4.23,2.497771,1.82413,1.568782,2.497649,1.825277,1.58246
424,6.03,6.026,4.24,2.503276,1.829608,1.544713,2.503257,1.829724,1.558658
425,6.04,6.036,4.25,2.509648,1.836262,1.521229,2.509577,1.835868,1.534979
426,6.05,6.046,4.26,2.516847,1.843456,1.497393,2.516139,1.842722,1.51117
427,6.06,6.056,4.27,2.5251,1.849501,1.472232,2.523187,1.848595,1.4853
428,6.07,6.066,4.28,2.534374,1.852229,1.44465,2.531587,1.853045,1.457726
429,6.08,6.076,4.29,2.543079,1.853026,1.416988,2.539614,1.854898,1.429893
430,6.09,6.086,4.3,2.550861,1.851754,1.388577,2.547801,1.854147,1.402079
431,6.1,6.096,4.31,2.558373,1.849766,1.360613,2.555575,1.853381,1.373821
432,6.11,6.106,4.32,2.566051,1.849412,1.333983,2.56349,1.853884,1.346693
433,6.12,6.116,4.33,2.572819,1.851847,1.308774,2.570984,1.855412,1.321905
434,6.13,6.126,4.34,2.581527,1.856413,1.28509,2.577926,1.8578,1.298445
435,6.14,6.136,4.35,2.590177,1.86202,1.262054,2.585518,1.861746,1.27618
436,6.15,6.146,4.36,2.598937,1.868221,1.239511,2.594326,1.867708,1.252607
437,6.16,6.156,4.37,2.609518,1.874908,1.216831,2.604292,1.874085,1.229527
438,6.17,6.166,4.38,2.621358,1.880388,1.192316,2.615596,1.879518,1.204719
439,6.18,6.176,4.39,2.633147,1.881786,1.165105,2.628178,1.882798,1.177769
440,6.19,6.186,4.4,2.644626,1.881888,1.137447,2.64054,1.8839,1.150633
441,6.2,6.196,4.41,2.655144,1.88143,1.1102,2.651517,1.884101,1.123331
442,6.21,6.206,4.42,2.666338,1.881001,1.083307,2.662278,1.884439,1.096336
443,6.22,6.216,4.43,2.677433,1.882111,1.058342,2.673357,1.885469,1.071303
444,6.23,6.226,4.44,2.689974,1.88563,1.035612,2.684431,1.886749,1.048206
445,6.24,6.236,4.45,2.701945,1.889988,1.013904,2.695798,1.88944,1.026303
446,6.25,6.246,4.46,2.715249,1.894845,0.993348,2.708539,1.893181,1.005377
447,6.26,6.256,4.47,2.729657,1.900276,0.973311,2.722704,1.898324,0.984949
448,6.27,6.266,4.48,2.744925,1.905734,0.952971,2.73761,1.903429,0.964238
449,6.28,6.276,4.49,2.761085,1.90923,0.93018,2.753327,1.908291,0.941502
450,6.29,6.286,4.5,2.77705,1.910282,0.905288,2.770173,1.911313,0.917126
451,6.3,6.296,4.51,2.794376,1.909671,0.881647,2.787708,1.911459,0.893776
452,6.31,6.306,4.52,2.811225,1.908558,0.859123,2.804907,1.911111,0.871362
453,6.32,6.316,4.53,2.827521,1.908056,0.837372,2.820385,1.910925,0.849167
